Status,Project,Branch,Change-id,Upload date,Days since upload,Last update date,Days since last update,Author,Review
TO_MERGE,platform/core/security/libprivilege-control,tizen,Iae5d175789742703b61322ffc89124e92636df54,2014-07-15,10,2014-07-17,7,ronan,https://review.tizen.org/gerrit/#/c/24508
TO_MERGE,platform/upstream/efl,tizen,Ic55940ef912ec8cf0dba602602f1a624c4e01f1f,2014-05-06,79,2014-07-16,9,mbachmann,https://review.tizen.org/gerrit/#/c/20390
TO_MERGE,platform/upstream/less,tizen,I7ddd920d62d3d7a37d7ed077f6f2cfcb2c7ec101,2013-10-23,275,2014-07-15,10,azdyb,https://review.tizen.org/gerrit/#/c/11266
TO_MERGE,scm/meta/snapshot-repo-conf,master,I4b91de9e7c61d8d8714439defdbb7f9ffb68f414,2014-03-27,120,2014-07-15,10,kad,https://review.tizen.org/gerrit/#/c/18649
TO_MERGE,test/tct/web/webapi,tizen_2.2,I6d55edf61e37ad1bbff3e12c1b5e6d500612f237,2014-06-20,35,2014-06-20,35,zqzhang,https://review.tizen.org/gerrit/#/c/23224
TO_MERGE,platform/core/security/privilege-checker,tizen,I15f62f9fc3e183acc21fd5dc7e64feb09c867fdc,2014-06-12,42,2014-06-16,39,rbartosiak,https://review.tizen.org/gerrit/#/c/22888
TO_MERGE,platform/core/messaging/email-service,tizen,I52fde05a3d1688fd83ddd52e627268e616500269,2014-06-13,42,2014-06-14,41,jbmartin,https://review.tizen.org/gerrit/#/c/22962
TO_MERGE,test/common/common-sanity-suite,tizen,Ic8332bcbd46babdb4334c5d8dad0c804bd308b78,2014-06-09,46,2014-06-09,45,xiaolei,https://review.tizen.org/gerrit/#/c/22594
TO_MERGE,test/common/common-sanity-suite,master,I66ce326f54ef805d932d1b567c92554f5cf2f209,2014-05-23,63,2014-05-23,63,xiaolei,https://review.tizen.org/gerrit/#/c/21557
TO_MERGE,platform/core/multimedia/libmm-utility,tizen,Ic2f86b80653257e440afc77db167840cc7296cdd,2014-01-17,189,2014-05-16,70,ravikirankn,https://review.tizen.org/gerrit/#/c/15258
TO_MERGE,apps/core/preloaded/starter,tizen,I70a60cf6785c0be5670aaf680d2c8d9c1a30044b,2014-04-30,86,2014-04-30,85,smlee,https://review.tizen.org/gerrit/#/c/20244
TO_MERGE,platform/core/location/lbs-dbus,tizen,I573771d87484fcf81b3cacb8ba4f0cb5a2c9da9e,2013-08-09,350,2014-04-28,87,mikeleib,https://review.tizen.org/gerrit/#/c/7856
TO_MERGE,apps/core/preloaded/net-popup,tizen,I230c0b54e4cac897954f4ea7c5e390255bced481,2014-02-26,149,2014-03-23,124,ronan,https://review.tizen.org/gerrit/#/c/16904
TO_MERGE,platform/framework/native/face,tizen,Ifb056909ebb537c963f1658e65688fa236edc07a,2013-10-22,275,2014-01-17,188,dmichaluk,https://review.tizen.org/gerrit/#/c/11197
TO_REVIEW,platform/upstream/fdupes,tizen,I7e751a2f3dafdf3bdf2059a5aaaba968a4f7e87f,2014-07-03,22,2014-07-23,2,ronan,https://review.tizen.org/gerrit/#/c/23795
TO_REVIEW,sdk/emulator/emulator-control-panel,tizen,Iee942ed2f85f3406feead5259d3dd8f4e63679e7,2014-07-15,10,2014-07-23,2,kkt920,https://review.tizen.org/gerrit/#/c/24472
TO_REVIEW,platform/framework/web/crosswalk,tizen,I2a44fa9c15048f3d8b93a56a1e9b6ff4adacb497,2014-01-29,177,2014-07-23,2,ygicquel,https://review.tizen.org/gerrit/#/c/15869
TO_REVIEW,profile/ivi/notification-service,tizen,Iff6e0e2be408401f1dbd62b8dae0c21b73c946b7,2014-07-22,3,2014-07-22,3,ys4610ko,https://review.tizen.org/gerrit/#/c/24793
TO_REVIEW,profile/ivi/OpenAVB,tizen,Ibcea3779a9b825a96da75c2f0f3e4bbd51044c83,2014-07-22,3,2014-07-22,3,olive,https://review.tizen.org/gerrit/#/c/24785
TO_REVIEW,profile/ivi/OpenAVB,tizen,I1d062dbd367031b302f8add5004bb0538b78db1c,2014-07-22,3,2014-07-22,3,olive,https://review.tizen.org/gerrit/#/c/24788
TO_REVIEW,platform/core/test/security-tests,tizen,I020b8c812526c7e13d86df8ffe72c4d80a1e0fe0,2014-07-11,13,2014-07-18,7,jacekbe,https://review.tizen.org/gerrit/#/c/24408
TO_REVIEW,scm/meta/obs,master,Id9a51731885f3c60a27081056728a3566f07d834,2014-07-17,8,2014-07-17,7,sdx,https://review.tizen.org/gerrit/#/c/24639
TO_REVIEW,platform/core/multimedia/media-server,tizen,Ia23ba942a6d647f77c318863aa89945d77f7ca96,2014-07-09,16,2014-07-17,8,ronan,https://review.tizen.org/gerrit/#/c/24253
TO_REVIEW,platform/framework/web/download-provider,tizen,Ib98cabfd074313e2ac37300ce1af5e318de6327f,2014-07-08,16,2014-07-17,8,rte,https://review.tizen.org/gerrit/#/c/24123
TO_REVIEW,platform/upstream/rpmlint,tizen,I41c03fddcaebb56696c338696000541b85405c01,2014-01-14,192,2014-07-15,9,mwereski,https://review.tizen.org/gerrit/#/c/14987
TO_REVIEW,platform/upstream/user-session-units,tizen,Ieeedbd008d01bee00a034db7b59e78c5a173dead,2014-07-09,16,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24258
TO_REVIEW,platform/upstream/SDL,tizen,Id504dac3aab259a0586527832d66bd512ce5b684,2014-06-20,35,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/23220
TO_REVIEW,platform/core/connectivity/libnet-client,tizen,Id120f7dffd33017262bb352b9321afcfe79169d4,2014-07-09,16,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24254
TO_REVIEW,platform/core/system/dlog,tizen,Ida5aa963e8edbe8e4de4dc7d7630e2d93d80d5d0,2014-07-09,16,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24240
TO_REVIEW,platform/core/multimedia/avsystem,tizen,Ia278467b36e156d1bef59c89212cdeb97490c855,2014-07-09,16,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24239
TO_REVIEW,platform/core/multimedia/libmm-session,tizen,I307d06038034d9f01cf81c65d38793bf1f4295dd,2014-07-09,16,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24232
TO_REVIEW,platform/core/multimedia/libmm-ta,tizen,I33b868931e437e2ace8e136104762a20cd1ef512,2014-07-09,16,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24228
TO_REVIEW,platform/core/multimedia/audio-session-manager,tizen,I992963b9f078896d3c80c0697df73b0056d6a447,2014-07-09,16,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24243
TO_REVIEW,platform/core/api/system-info,tizen,Ia6540cdeff5652db99d63a6b1f8916582725e694,2014-07-11,14,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24382
TO_REVIEW,platform/core/api/sound-manager,tizen,I0176f3468acce0b4fd0b4b9971b4ccf5c0e58c06,2014-07-11,14,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24379
TO_REVIEW,platform/core/system/libslp-pm,tizen,Id3ff9053772de28a35a5e31e5fa86c97451070c3,2014-07-11,14,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24378
TO_REVIEW,platform/core/api/location-manager,tizen,Ie9d6ce20d7b893908257e3dc2c094f4bb46d4e59,2014-07-10,14,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24343
TO_REVIEW,platform/core/multimedia/libmm-common,tizen,I1c7534d448ed33969ed88773df7a4baa3befff7a,2014-07-11,13,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24410
TO_REVIEW,platform/core/api/media-content,tizen,I089e2e0169a56da9f512db747fa4ee334019d092,2014-07-11,14,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24385
TO_REVIEW,platform/core/multimedia/libmm-utility,tizen,I06f78a535fbf7672a4a200cb4481171d55076e9c,2014-07-10,14,2014-07-15,10,ronan,https://review.tizen.org/gerrit/#/c/24342
TO_REVIEW,platform/core/api/power,tizen,I314354cd1987c0a8f70c0e836e12b124831899c2,2014-07-10,14,2014-07-11,14,ronan,https://review.tizen.org/gerrit/#/c/24340
TO_REVIEW,platform/core/api/device,tizen,I66727d07778917fe141a124f3d12d69d44c87bc4,2014-07-10,14,2014-07-11,14,ronan,https://review.tizen.org/gerrit/#/c/24341
TO_REVIEW,platform/upstream/systemd,tizen,I1814d6f2dec5f7669281f2eca9a5413a60803204,2014-07-08,17,2014-07-08,17,ronan,https://review.tizen.org/gerrit/#/c/24110
TO_REVIEW,platform/upstream/systemd,tizen,I064d38c32f76b23b7a57bac602973e48de201647,2014-06-05,50,2014-07-08,17,kthierry,https://review.tizen.org/gerrit/#/c/22522
TO_REVIEW,platform/core/appfw/tizen-platform-wrapper,tizen,I5c57494317473dcd74c85cbc2bce19a6d68c2739,2014-07-08,17,2014-07-08,17,ronan,https://review.tizen.org/gerrit/#/c/24049
TO_REVIEW,scm/meta/obs,master,I88841b6cfe781edf0ca46731edf5cc05f47ac21a,2014-06-12,43,2014-07-07,18,sdx,https://review.tizen.org/gerrit/#/c/22833
TO_REVIEW,platform/core/multimedia/libmm-sound,tizen,I4482871449b6795bbcc17c04a8b4b282475fa920,2014-07-03,21,2014-07-03,21,kthierry,https://review.tizen.org/gerrit/#/c/23842
TO_REVIEW,platform/core/multimedia/audio-session-manager,tizen,I34325ad89beee9f67724d29d5dad67b0e06f6519,2014-07-03,21,2014-07-03,21,kthierry,https://review.tizen.org/gerrit/#/c/23841
TO_REVIEW,platform/upstream/lua,tizen,I52a1cbbbfbd7450f8b2a6b4a1b43cb92aa4b3e10,2014-07-03,22,2014-07-03,21,kthierry,https://review.tizen.org/gerrit/#/c/23828
TO_REVIEW,platform/core/multimedia/libmm-common,tizen,Ib1612ffb10f0f8735d6ebff9e271cfefde445cf4,2014-07-03,21,2014-07-03,21,kthierry,https://review.tizen.org/gerrit/#/c/23840
TO_REVIEW,platform/upstream/iniparser,tizen,Ie585dc4c9adaff88012c94ec0bf76c278311deaa,2014-07-03,22,2014-07-03,22,kthierry,https://review.tizen.org/gerrit/#/c/23825
TO_REVIEW,platform/core/multimedia/libmm-fileinfo,tizen,I4b71eb3e4619ce5585879ef93960ee89eae5d19e,2014-06-25,29,2014-06-30,25,ronan,https://review.tizen.org/gerrit/#/c/23448
TO_REVIEW,kernel/swap-modules,prod_rel,I89d2528d01835b5f6c2d3dd2d2f9bc0148c25d8b,2014-06-26,29,2014-06-27,28,aksenov,https://review.tizen.org/gerrit/#/c/23486
TO_REVIEW,platform/core/system/swap-manager,master,If3a4796e60ff061fe69dc4bf29e166393e483ec8,2014-04-16,99,2014-06-26,29,cherepanov,https://review.tizen.org/gerrit/#/c/19613
TO_REVIEW,platform/core/system/deviced,tizen,Ia66d2fa9703a0ba8732c7e18a9943693a1201f9d,2014-06-23,32,2014-06-23,32,mwereski,https://review.tizen.org/gerrit/#/c/23291
TO_REVIEW,platform/upstream/libva-intel-driver,tizen,I6ef7c1c8016a9aa459968719de5795cdad7dc5cb,2014-06-16,39,2014-06-19,36,pcoval,https://review.tizen.org/gerrit/#/c/23040
TO_REVIEW,platform/upstream/libva,tizen,Ib5a9048be715c02a97284240f86318cd291fffff,2014-06-16,39,2014-06-19,36,pcoval,https://review.tizen.org/gerrit/#/c/23039
TO_REVIEW,platform/upstream/libva,tizen,I33514f27f55d58763c0cc198a8ad58012b17ffff,2014-06-16,39,2014-06-19,36,pcoval,https://review.tizen.org/gerrit/#/c/23037
TO_REVIEW,platform/upstream/libva-intel-driver,tizen,I65b47c1deb23e6d699efc1b7f195529d5a81736c,2014-06-16,39,2014-06-19,36,pcoval,https://review.tizen.org/gerrit/#/c/23042
TO_REVIEW,platform/upstream/libva,tizen,Iea76b2739c0a2bb514c831a4bda73913a0f8ffff,2014-06-16,39,2014-06-19,36,pcoval,https://review.tizen.org/gerrit/#/c/23038
TO_REVIEW,platform/upstream/libva-intel-driver,tizen,I99c20e476ed296cfa39b91e259878427825b00c9,2014-06-16,39,2014-06-19,36,pcoval,https://review.tizen.org/gerrit/#/c/23041
TO_REVIEW,platform/core/system/deviced,tizen,I9c30213b498b5871c36e7e5572c605aa625f3d84,2014-06-18,37,2014-06-18,36,mwereski,https://review.tizen.org/gerrit/#/c/23155
TO_REVIEW,platform/core/system/deviced,tizen,I3861a18e481732cb49e2c5d4b3e9c04351896b87,2014-06-18,37,2014-06-18,37,mwereski,https://review.tizen.org/gerrit/#/c/23130
TO_REVIEW,platform/core/system/deviced,tizen,I0e716534846fe7aafbde7d92f5d7017d2516f2a1,2014-06-18,37,2014-06-18,37,mwereski,https://review.tizen.org/gerrit/#/c/23129
TO_REVIEW,platform/upstream/libva-intel-driver,tizen,I8b05b3c43315a818502eb17afd25703fa0f0b4b7,2014-06-16,39,2014-06-16,39,pcoval,https://review.tizen.org/gerrit/#/c/23043
TO_REVIEW,platform/upstream/weston,tizen,If2f56713b68c4d6f617151c34e0ce4789c9990f1,2014-05-27,59,2014-06-13,42,mbachmann,https://review.tizen.org/gerrit/#/c/21767
TO_REVIEW,apps/core/preloaded/settings,tizen,I29fcce38beb4d8295181a3037af135d8227349a9,2014-02-13,162,2014-06-13,42,wuzhiwen,https://review.tizen.org/gerrit/#/c/16333
TO_REVIEW,platform/framework/native/ime,tizen,Ib98e59d07467da7b3e07c951575510828cd90118,2014-04-08,108,2014-06-11,44,mlis,https://review.tizen.org/gerrit/#/c/19183
TO_REVIEW,platform/framework/web/wrt,tizen,Ie984616b129a0e85d3468b111ebd842078b91e2d,2014-04-08,108,2014-06-11,44,mlis,https://review.tizen.org/gerrit/#/c/19180
TO_REVIEW,profile/ivi/weston-emulator,tizen,Ic8654c0a5d5e55ab2b6bb0c2c1e739b9eb106db3,2014-06-05,50,2014-06-05,50,pwnissan,https://review.tizen.org/gerrit/#/c/22481
TO_REVIEW,apps/native/sample/Calculator,tizen,I93ce8f465df4168ca32e72655640ecd161a87c1b,2014-05-28,58,2014-05-29,57,izh,https://review.tizen.org/gerrit/#/c/21987
TO_REVIEW,platform/framework/web/wrt-plugins-common,tizen,If715379e0a4513e1a72e419ca0daf93653908ed1,2014-02-17,158,2014-05-28,57,pcoval,https://review.tizen.org/gerrit/#/c/16441
TO_REVIEW,apps/core/preloaded/settings,tizen,I8cef9c2b94604c18130e41a4936fe13fafb2bc2f,2014-02-13,161,2014-05-28,57,pcoval,https://review.tizen.org/gerrit/#/c/16349
TO_REVIEW,platform/framework/web/wrt-plugins-common,tizen,Ife54ebee8b5fd5008e72b866fa325e961a484d1a,2014-02-17,158,2014-05-28,57,pcoval,https://review.tizen.org/gerrit/#/c/16442
TO_REVIEW,kernel/kernel-generic,tizen,Ie66dded4e242ca33ca57f8589d5662851816c37c,2014-03-20,127,2014-05-26,59,jobol,https://review.tizen.org/gerrit/#/c/18297
TO_REVIEW,profile/mobile/meta-mobile,tizen,Ic3e0adddcbc3b26737f9371330f9fd37cafb64a7,2014-05-21,64,2014-05-23,63,jacekbe,https://review.tizen.org/gerrit/#/c/21491
TO_REVIEW,platform/framework/native/ime,tizen,I5b97d908b2c1b7cf1497d6de955c7ac30d6a01e4,2014-05-08,78,2014-05-22,64,sudhav,https://review.tizen.org/gerrit/#/c/20474
TO_REVIEW,profile/mobile/meta-mobile,tizen,If096b7d6fc6c6f32ed79921a38586a64d58fd231,2014-05-21,64,2014-05-22,64,jacekbe,https://review.tizen.org/gerrit/#/c/21490
