Status,Project,Branch,Change-id,Upload date,Days since upload,Last update date,Days since last update,Author,Review
TO_REVIEW_AND_VERIFY,apps/core/preloaded/boot-animation,tizen,I8b565cfe779b79da58838b3b063e46d0659a18bf,2014-01-27,202,2014-02-13,185,dorileo,https://review.tizen.org/gerrit/#/c/15738
TO_REVIEW_AND_VERIFY,apps/core/preloaded/call-setting,tizen,I45fea601c1298aacfe9f5b3c5d4977914f975d3f,2014-01-27,202,2014-02-13,185,dorileo,https://review.tizen.org/gerrit/#/c/15741
TO_REVIEW_AND_VERIFY,apps/core/preloaded/gallery,tizen,I44f815f06f761812b858bdaba59a5f2a0281cc3d,2014-01-27,202,2014-02-13,186,dorileo,https://review.tizen.org/gerrit/#/c/15745
TO_REVIEW_AND_VERIFY,apps/core/preloaded/message-app,tizen,I033d30460079c7119f6782e3a196d0937ba978b2,2014-01-27,202,2014-02-12,186,dorileo,https://review.tizen.org/gerrit/#/c/15752
TO_REVIEW_AND_VERIFY,apps/core/preloaded/phone-contacts,tizen,I8788c1ccbee9a0357149a6c8456d76eacf87be44,2014-01-27,202,2014-02-12,187,dorileo,https://review.tizen.org/gerrit/#/c/15755
TO_REVIEW_AND_VERIFY,platform/core/api/player,tizen,I7a0af283dc197acecd0ba6109ba033ba6ebbd575,2014-02-12,187,2014-02-12,187,yyin2,https://review.tizen.org/gerrit/#/c/16248
TO_REVIEW_AND_VERIFY,platform/upstream/gst-plugins-base,tizen,Ie1df29e292927d3dfc4e858b4b641fb821736263,2013-06-27,416,2014-02-11,187,avalluri,https://review.tizen.org/gerrit/#/c/4316
TO_REVIEW_AND_VERIFY,apps/core/preloaded/pwlock,tizen,Icb7894acaee1a368160e49f86b2559a6a044a035,2014-01-27,202,2014-02-11,187,dorileo,https://review.tizen.org/gerrit/#/c/15758
TO_REVIEW_AND_VERIFY,apps/core/preloaded/pwlock,tizen,Idba0aee49b40651809bd8b4b1806e43375404d33,2014-01-27,202,2014-02-11,187,dorileo,https://review.tizen.org/gerrit/#/c/15756
TO_REVIEW_AND_VERIFY,apps/core/preloaded/taskmanager,tizen,I51e6239a8e3918603cae660e931902bfd5272342,2014-01-27,202,2014-02-11,187,dorileo,https://review.tizen.org/gerrit/#/c/15762
TO_REVIEW_AND_VERIFY,apps/core/preloaded/ug-myfile-efl,tizen,If0694d00517e5a3101816504317b42b7ab5fdd47,2014-01-27,202,2014-02-11,187,dorileo,https://review.tizen.org/gerrit/#/c/15764
TO_REVIEW_AND_VERIFY,apps/core/preloaded/video-player,tizen,I8a7c24031275f15d225946ce752d9995fdf2554b,2014-01-27,202,2014-02-11,188,dorileo,https://review.tizen.org/gerrit/#/c/15767
TO_REVIEW_AND_VERIFY,apps/core/preloaded/video-player,tizen,I688879f9b15f123ef39fc905c8a911a170d6ab99,2014-01-27,202,2014-02-11,188,dorileo,https://review.tizen.org/gerrit/#/c/15768
TO_REVIEW_AND_VERIFY,kernel/swap-modules,dev/aarch64,Ie0f75162ff4c570d88e549253c24e48bcb7d6724,2014-02-10,188,2014-02-10,188,ches01,https://review.tizen.org/gerrit/#/c/16188
